0.0000045,0
0.0000056,0
0.0000071,0
0.0000089,0
0.0000112,0
0.0000141,0
0.0000178,0
0.0000224,0
0.0000282,0
0.0000355,0
0.0000447,0
0.0000562,0
0.0000708,0
0.0000891,0
0.0001122,0
0.0001413,0
0.0001778,0
0.0002239,0
0.0002818,0
0.0003548,0
0.0004467,0
0.0005623,0
0.0007079,0
0.0008913,0
0.0011220,0
0.0014125,0
0.0017783,0
0.0022387,0
0.0028184,0
0.0035481,0
0.0044668,0
0.0056234,0
0.0070795,0
0.0089125,0
0.0112202,0
0.0141254,0
0.0177828,0
0.0223872,0
0.0281838,0
0.0354813,0
0.0446684,0
0.0562341,0
0.0707946,0
0.0891251,0
0.1122018,8
0.1412538,0
